"","Transect","Plot","Tree","Core","Species","Age","Status","Decay","DBH"
"1",1,1,1,"Yes","ABBI",41,1,"-",20.7
"2",1,1,2,"Yes","ABBI",96,1,"-",21.7
"3",1,1,3,"Yes","ABBI",124,1,"-",21.2
"4",1,1,4,"No","ABBI",NA,1,"-",NA
"5",1,1,5,"No","ABBI",NA,1,"-",8.3
"6",1,1,6,"No","ABBI",NA,1,"-",NA
"7",1,1,7,"No","ABBI",NA,1,"-",9
"8",1,1,8,"No","ABBI",NA,1,"-",7.3
"9",1,1,9,"No","ABBI",NA,1,"-",7.5
"10",1,1,10,"Yes","ABBI",NA,1,"-",NA
"11",1,1,11,"No","ABBI",78,1,"-",8.2
"12",1,1,12,"No","ABBI",NA,1,"-",11.8
"13",1,1,13,"No","ABBI",NA,1,"-",NA
"14",1,1,14,"No","ABBI",NA,1,"-",8.1
"15",1,1,15,"Yes","ABBI",NA,1,"-",10.9
"16",1,1,16,"No","ABBI",NA,1,"-",NA
"17",1,1,17,"Yes","ABBI",39,1,"-",6.1
"18",1,1,18,"No","ABBI",NA,1,"-",NA
"19",1,1,19,"No","ABBI",NA,1,"-",NA
"20",1,1,20,"No","ABBI",NA,1,"-",NA
"21",1,1,21,"No","ABBI",NA,1,"-",11.8
"22",1,1,22,"No","ABBI",NA,1,"-",9.5
"23",1,1,23,"No","ABBI",NA,1,"-",NA
"24",1,1,24,"No","ABBI",NA,1,"-",NA
"25",1,1,25,"No","ABBI",NA,1,"-",NA
"26",1,1,26,"No","ABBI",NA,1,"-",NA
"27",1,1,27,"No","ABBI",NA,1,"-",10.4
"28",1,1,28,"No","ABBI",NA,1,"-",NA
"29",1,1,29,"No","ABBI",NA,1,"-",NA
"30",1,1,30,"No","ABBI",NA,1,"-",NA
"31",1,1,31,"No","ABBI",NA,1,"-",NA
"32",1,1,32,"No","ABBI",NA,1,"-",NA
"33",1,1,33,"No","ABBI",NA,1,"-",NA
"34",1,1,34,"No","ABBI",NA,1,"-",NA
"35",1,2,1,"Yes","ABBI",68,1,"-",7.7
"36",1,2,2,"No","ABBI",NA,1,"-",8.5
"37",1,2,3,"No","ABBI",NA,1,"-",7.5
"38",1,2,4,"Yes","ABBI",97,1,"-",11.5
"39",1,2,5,"No","ABBI",NA,1,"-",12
"40",1,2,6,"No","ABBI",NA,1,"-",7.7
"41",1,2,7,"No","ABBI",NA,1,"-",9.6
"42",1,2,8,"No","ABBI",NA,1,"-",5.8
"43",1,2,9,"Yes","ABBI",96,1,"-",13
"44",1,2,10,"Yes","ABBI",NA,1,"-",16
"45",1,2,11,"Yes","ABBI",89,1,"-",15.4
"46",1,3,1,"Yes","PIEN",80,1,"-",30.4
