Plot no.,Species,Dbh,Status,Decay Class,Con Class (Fule),per ha conversion,Annual Growth to Subtract,25% Death Date,25% 1922 DBH (dib),25% 1922 DBH (dob),25% 1922 Size bin ,25% 1922 BA (m²),25% 1922 Density (ha-1),50% Death Date,50% 1922 DBH (dib),50% 1922 DBH (dob),50% 1922 Size bin,50% 1922 BA (m²),50% 1922 Density (ha-1),75% Death Date,75% 1922 DBH (dib),75% 1922 DBH (dob),75% 1922 Size bin,75% 1922 BA (m²),75% 1922 Density (ha-1)
1,QUGA,6.4,3,5,6,25,0.075609756,1969,3.753658537,3.753658537,sap,0.001106625,0,1956,2.770731707,2.770731707,sap,0.000602948,0,1982,4.736585366,4.736585366,sap,0.001762064,0
1,QUGA,7,3,6,7,25,0.075609756,1952,3.068292683,3.068292683,sap,0.000739409,0,1956,3.370731707,3.370731707,sap,0.000892358,0,1982,5.336585366,5.336585366,1,0.002236752,25
1,QUGA,7.1,4,5,6,25,0.075609756,1969,4.453658537,4.453658537,sap,0.001557847,0,1956,3.470731707,3.470731707,sap,0.000946091,0,1982,5.436585366,5.436585366,1,0.002321364,25
1,QUGA,8,3,5,6,25,0.075609756,1969,5.353658537,5.353658537,1,0.002251087,25,1956,4.370731707,4.370731707,sap,0.001500373,0,1982,6.336585366,6.336585366,1,0.003153563,25
1,QUGA,10.2,4,5,6,25,0.075609756,1969,7.553658537,7.553658537,1,0.004481316,25,1956,6.570731707,6.570731707,1,0.003390926,25,1982,8.536585366,8.536585366,1,0.005723468,25
1,QUGA,10.9,3,4,5,25,0.075609756,1986,9.53902439,9.53902439,1,0.007146589,25,1995,10.2195122,10.2195122,1,0.008202594,25,1998,10.44634146,10.44634146,1,0.00857076,25
1,QUGA,11.2,3,4,5,25,0.075609756,1986,9.83902439,9.83902439,1,0.007603175,25,1995,10.5195122,10.5195122,1,0.008691247,25,1998,10.74634146,10.74634146,1,0.009070102,25
1,QUGA,11.9,3,5,6,25,0.075609756,1969,9.253658537,9.253658537,1,0.006725396,25,1956,8.270731707,8.270731707,1,0.005372529,25,1982,10.23658537,10.23658537,1,0.008230024,25
1,QUGA,12,3,4,5,25,0.075609756,1986,10.63902439,10.63902439,1,0.008889851,25,1995,11.3195122,11.3195122,1,0.010063437,25,1998,11.54634146,11.54634146,1,0.010470796,25
2,PIPO,32.1,2,2,3,25,0.207317073,2004,32.1,32.1,3,0.080928401,25,2004,32.1,32.1,3,0.080928401,25,2004,32.1,32.1,3,0.080928401,25
