Plot no.,Species,DBH (2004),2004 size bin,known age,predicted age,2004 age bin, 2004 Density (ha-1),2004BA (m2),Distance from 1922 (cm),DBH (1922),1922 size bin,1922 Density (ha-1),1922 BA (m2),,,,,,
1,PIPO,32.6,3,95,95,5,25,0.0834692,8.5,15.6,1,25,0.019113,,,,,,
1,PIST,19.3,2,0,94,5,25,0.0292554,5.6,8.1,1,25,0.005153,,,,,,
1,QUGA,11.3,1,83,83,5,25,0.0100288,3.1,5.1,1,25,0.002043,,,,,,
1,QUGA,12,1,0,82,5,25,0.0113098,3.1,5.8,1,25,0.002642,,,,,,
1,QUGA,13.5,1,0,85,5,25,0.0143139,3.1,7.3,1,25,0.004185,,,,,,
1,QUGA,14.9,1,0,86,5,25,0.0174367,3.1,8.7,1,25,0.005945,,,,,,
1,QUGA,15.2,1,0,88,5,25,0.0181459,3.1,9.0,1,25,0.006362,,,,,,
1,QUGA,16,2,0,91,5,25,0.0201062,3.1,9.8,1,25,0.007543,,,,,,
2,PIST,18.2,2,99,99,5,25,0.0260156,5.6,7.0,1,25,0.003848,,,,,,
2,PSME,26,3,0,115,6,25,0.0530930,7.8,10.4,1,25,0.008495,,,,,,
2,QUGA,12.6,1,0,81,5,25,0.0124690,3.1,6.4,1,25,0.003217,,,,,,
2,QUGA,13,1,0,85,5,25,0.0132733,3.1,6.8,1,25,0.003632,,,,,,
2,QUGA,14.7,1,0,87,5,25,0.0169717,3.1,8.5,1,25,0.005675,,,,,,
2,QUGA,15.7,1,133,133,7,25,0.0193593,3.1,9.5,1,25,0.007088,,,,,,
2,QUGA,17.6,2,0,93,5,25,0.0243286,3.1,11.4,1,25,0.010207,,,,,,
2,QUGA,18,2,131,131,7,25,0.0254470,3.1,11.8,1,25,0.010936,,,,,,
2,QUGA,19.5,2,0,98,5,25,0.0298648,3.1,13.3,1,25,0.013893,,,,,,
3,PSME,27.7,3,0,120,6,25,0.0602630,7.8,12.1,1,25,0.011499,,,,,,
3,QUGA,11.5,1,85,85,5,25,0.0103869,3.1,5.3,1,25,0.002206,,,,,,
3,QUGA,12.5,1,124,124,7,25,0.0122719,3.1,6.3,1,25,0.003117,,,,,,
3,QUGA,12.8,1,0,81,5,25,0.0128680,3.1,6.6,1,25,0.003421,,,,,,
3,QUGA,13,1,0,81,5,25,0.0132733,3.1,6.8,1,25,0.003632,,,,,,
3,QUGA,13.2,1,0,83,5,25,0.0136848,3.1,7.0,1,25,0.003848,,,,,,
3,QUGA,14,1,0,83,5,25,0.0153938,3.1,7.8,1,25,0.004778,,,,,,
3,QUGA,14.1,1,0,85,5,25,0.0156145,3.1,7.9,1,25,0.004902,,,,,,
3,QUGA,14.6,1,0,86,5,25,0.0167416,3.1,8.4,1,25,0.005542,,,,,,
3,QUGA,15.1,1,0,86,5,25,0.0179079,3.1,8.9,1,25,0.006221,,,,,,
3,QUGA,15.3,1,0,90,5,25,0.0183854,3.1,9.1,1,25,0.006504,,,,,,
4,PIST,25.1,2,0,111,6,25,0.0494810,5.6,13.9,1,25,0.015175,,,,,,
5,PIST,16.2,2,0,85,5,25,0.0206120,5.6,5.0,1,25,0.001964,,,,,,
5,PIST,16.4,2,0,85,5,25,0.0211241,5.6,5.2,1,25,0.002124,,,,,,
5,PIST,16.4,2,0,90,5,25,0.0211241,5.6,5.2,1,25,0.002124,,,,,,
5,PIST,18,2,0,92,5,25,0.0254470,5.6,6.8,1,25,0.003632,,,,,,
5,PIST,21.3,2,132,132,7,25,0.0356328,5.6,10.1,1,25,0.008012,,,,,,
5,PIST,21.5,2,0,100,5,25,0.0363051,5.6,10.3,1,25,0.008332,,,,,,
5,PIST,21.6,2,135,135,7,25,0.0366436,5.6,10.4,1,25,0.008495,,,,,,
5,PIST,21.8,2,0,103,6,25,0.0373253,5.6,10.6,1,25,0.008825,,,,,,
5,QUGA,12,1,0,83,5,25,0.0113098,3.1,5.8,1,25,0.002642,,,,,,
5,QUGA,13.9,1,0,86,5,25,0.0151747,3.1,7.7,1,25,0.004657,,,,,,
5,QUGA,19.1,2,0,96,5,25,0.0286522,3.1,12.9,1,25,0.013070,,,,,,
6,PIST,16.7,2,0,86,5,25,0.0219040,5.6,5.5,1,25,0.002376,,,,,,
6,PIST,16.7,2,0,87,5,25,0.0219040,5.6,5.5,1,25,0.002376,,,,,,
6,PIST,17.1,2,99,99,5,25,0.0229659,5.6,5.9,1,25,0.002734,,,,,,
6,PIST,17.6,2,0,90,5,25,0.0243286,5.6,6.4,1,25,0.003217,,,,,,
6,PIST,18,2,110,110,6,25,0.0254470,5.6,6.8,1,25,0.003632,,,,,,
6,PIST,18.4,2,0,94,5,25,0.0265905,5.6,7.2,1,25,0.004072,,,,,,
6,PIST,19.5,2,107,107,6,25,0.0298648,5.6,8.3,1,25,0.005411,,,,,,
6,PIST,20,2,0,100,5,25,0.0314160,5.6,8.8,1,25,0.006082,,,,,,
6,PIST,21.6,2,119,119,6,25,0.0366436,5.6,10.4,1,25,0.008495,,,,,,
6,PIST,22.1,2,0,103,6,25,0.0383597,5.6,10.9,1,25,0.009331,,,,,,
6,PIST,25.9,2,107,107,6,25,0.0526854,5.6,14.7,1,25,0.016972,,,,,,
6,PSME,22,2,0,105,6,25,0.0380134,7.8,6.4,1,25,0.003217,,,,,,
6,QUGA,13,1,0,81,5,25,0.0132733,3.1,6.8,1,25,0.003632,,,,,,
6,QUGA,13,1,0,83,5,25,0.0132733,3.1,6.8,1,25,0.003632,,,,,,
6,QUGA,14,1,0,85,5,25,0.0153938,3.1,7.8,1,25,0.004778,,,,,,
6,QUGA,15,1,126,126,7,25,0.0176715,3.1,8.8,1,25,0.006082,,,,,,
6,QUGA,15.8,1,0,88,5,25,0.0196067,3.1,9.6,1,25,0.007238,,,,,,
6,QUGA,16.2,2,0,92,5,25,0.0206120,3.1,10.0,1,25,0.007854,,,,,,
6,QUGA,17.7,2,0,95,5,25,0.0246058,3.1,11.5,1,25,0.010387,,,,,,
6,QUGA,18.7,2,0,95,5,25,0.0274647,3.1,12.5,1,25,0.012272,,,,,,
6,QUGA,18.8,2,0,95,5,25,0.0277592,3.1,12.6,1,25,0.012469,,,,,,
7,PSME,25.4,2,0,114,6,25,0.0506709,7.8,9.8,1,25,0.007543,,,,,,
8,PSME,22.3,2,0,106,6,25,0.0390572,7.8,6.7,1,25,0.003526,,,,,,
8,PSME,26,3,119,119,6,25,0.0530930,7.8,10.4,1,25,0.008495,,,,,,
8,PSME,29.1,3,141,141,8,25,0.0665085,7.8,13.5,1,25,0.014314,,,,,,
