"","Plot.no.","species","dbh","age","status","decayClass"
"1",1,"PIPO",32.6,95,1,NA
"2",1,"PIST",19.3,NA,1,NA
"3",1,"QUGA",11.3,83,1,NA
"4",1,"QUGA",12,NA,1,NA
"5",1,"QUGA",13.5,NA,1,NA
"6",1,"QUGA",14.9,NA,1,NA
"7",1,"QUGA",15.2,NA,1,NA
"8",1,"QUGA",16,NA,1,NA
"9",2,"PIST",18.2,99,1,NA
"10",2,"PSME",26,NA,1,NA
"11",2,"QUGA",12.6,NA,1,NA
"12",2,"QUGA",13,NA,1,NA
"13",2,"QUGA",14.7,NA,1,NA
"14",2,"QUGA",15.7,133,1,NA
"15",2,"QUGA",17.6,NA,1,NA
"16",2,"QUGA",18,131,1,NA
"17",2,"QUGA",19.5,NA,1,NA
"18",3,"PSME",27.7,NA,1,NA
"19",3,"QUGA",11.5,85,1,NA
"20",3,"QUGA",12.5,124,1,NA
"21",3,"QUGA",12.8,NA,1,NA
"22",3,"QUGA",13,NA,1,NA
"23",3,"QUGA",13.2,NA,1,NA
"24",3,"QUGA",14,NA,1,NA
"25",3,"QUGA",14.1,NA,1,NA
"26",3,"QUGA",14.6,NA,1,NA
"27",3,"QUGA",15.1,NA,1,NA
"28",3,"QUGA",15.3,NA,1,NA
"29",4,"PIST",25.1,NA,1,NA
"30",5,"PIST",16.2,NA,1,NA
"31",5,"PIST",16.4,NA,1,NA
"32",5,"PIST",16.4,NA,1,NA
"33",5,"PIST",18,NA,1,NA
"34",5,"PIST",21.3,132,1,NA
"35",5,"PIST",21.5,NA,1,NA
"36",5,"PIST",21.6,135,1,NA
"37",5,"PIST",21.8,NA,1,NA
"38",5,"QUGA",12,NA,1,NA
"39",5,"QUGA",13.9,NA,1,NA
"40",5,"QUGA",19.1,NA,1,NA
"41",6,"PIST",16.7,NA,1,NA
"42",6,"PIST",16.7,NA,1,NA
"43",6,"PIST",17.1,99,1,NA
"44",6,"PIST",17.6,NA,1,NA
"45",6,"PIST",18,110,1,NA
"46",6,"PIST",18.4,NA,1,NA
"47",6,"PIST",19.5,107,1,NA
"48",6,"PIST",20,NA,1,NA
"49",6,"PIST",21.6,119,1,NA
"50",6,"PIST",22.1,NA,1,NA
"51",6,"PIST",25.9,107,1,NA
"52",6,"PSME",22,NA,1,NA
"53",6,"QUGA",13,NA,1,NA
"54",6,"QUGA",13,NA,1,NA
"55",6,"QUGA",14,NA,1,NA
"56",6,"QUGA",15,126,1,NA
"57",6,"QUGA",15.8,NA,1,NA
"58",6,"QUGA",16.2,NA,1,NA
"59",6,"QUGA",17.7,NA,1,NA
"60",6,"QUGA",18.7,NA,1,NA
"61",6,"QUGA",18.8,NA,1,NA
"62",7,"PSME",25.4,NA,1,NA
"63",8,"PSME",22.3,NA,1,NA
"64",8,"PSME",26,119,1,NA
"65",8,"PSME",29.1,141,1,NA
"66",8,"PSME",30.9,NA,1,NA
"67",8,"PSME",31.1,NA,1,NA
"68",8,"PSME",31.2,NA,1,NA
"69",8,"QUGA",12.1,115,1,NA
"70",8,"QUGA",12.5,121,1,NA
"71",8,"QUGA",12.9,NA,1,NA
"72",8,"QUGA",13.2,NA,1,NA
"73",9,"PIST",17,NA,1,NA
"74",9,"PIST",20.1,123,1,NA
