Plot,technician initials,Species,DBH,Outer Ring,Inner Ring,Age,Pith? (y/n),distance (mm),Inner 5 (mm),mm/5,years/mm,Years to add,Adjusted Age,Marker years observed
C-2,RGC,PIPO,15.2,2023,1960,63,n,7.3,3.05,0.61,1.639344262,11.96721311,75,"2013,2012, 2006, 2002, 1982, 1966, 1963, "
C-2,RGC,PIPO,9.9,2023,1932,91,n,4.2,5.45,1.09,0.917431193,3.853211009,95,"2013, 2012, 2006, 2002, 1968, 1966, 1956, 1954"
C-2,RGC,PIPO,17.9,2023,1921,102,n,8.5,4.4,0.88,1.136363636,9.659090909,112,"2013,2012, 2006, 2002, 1982, 1966, 1963, 1956, 1954, 1932, 1925, 1908"
C-2,RGC,PIPO,16.6,2023,1921,102,n,9.35,4.3,0.86,1.162790698,10.87209302,113,"2013,2012, 2006, 2002, 1982, 1966, 1963, 1956, 1954, 1932, 1925"
C-2,RGC,PIPO,10.9,2023,1909,114,n,3.4,6.45,1.29,0.775193798,2.635658915,117,"2013,2012, 2006, 1982, 1963, 1956, 1954, 1932, 1925, "
C-2,RGC,PIPO,10,2023,1928,95,n,2.8,3.5,0.7,1.428571429,4,99,"2013,2012, 2006, 2002, 1966, 1963, 1956, 1954,"
C-2,RGC,PIPO,18.2,2023,1917,106,n,7.75,4.5,0.9,1.111111111,8.611111111,115,"2013,2012, 2006, 1982, 1966, 1963, 1956, 1954, 1932, 1925"
C-2,RGC,PIPO,7.6,2023,1927,96,n,5.25,4.1,0.82,1.219512195,6.402439024,102,"2013, 2006, 1982, 1966, 1963, 1956, 1954, 1932, "
C-2,RGC,PIPO,17.6,2023,1901,122,y,0,0,0,0,0,122,"2012, 2002, 1982, 1966, 1963, 1956, 1954, 1932, 1925, 1908"
C-2,RGC,PIPO,10.2,2023,1906,117,y,0,0,0,0,,117,"2013,2012, 2006, 2002, 1982, 1966, 1963, 1956, 1954, 1932, 1925, 1908"
C-2,RGC,PSME,15.1,2023,1924,99,n,3.1,5.2,1.04,0.961538462,2.980769231,102,"2013,2012,1982, 1966, 1963, 1956, 1954, 1932, 1925, "
C-2,RGC,PSME,17.8,2023,1922,101,n,4.7,5.8,1.16,0.862068966,4.051724138,105,"2013,2012, 2006, 2002, 1982, 1966, 1963, 1956, 1954, 1932, 1925,"
C-2,RGC,PSME,11.2,2023,1911,112,n,4.21,7.11,1.422,0.70323488,2.960618847,115,"2013,2012, 2006, 2002, 1982, 1963, 1956, 1954, 1932, 1925, "
C-2,RGC,PSME,20.8,2023,1903,120,n,5.7,8.05,1.61,0.621118012,3.540372671,124,"2013,2012, 2006, 2002, 1982, 1966, 1963, 1956, 1954, 1932, 1925, 1908"
C-2,RGC,PSME,41.2,2023,1893,130,n,10.3,15.05,3.01,0.332225914,3.42192691,133,"2013,2012, 2006, 2002, 1982, 1966, 1963, 1956, 1954, 1932, 1925, 1908"
C-2,RGC,PSME,11.1,2023,1927,96,n,3.35,3.85,0.77,1.298701299,4.350649351,100,"2013, 2012, 2006, 2002, 1968, 1966, 1956, 1954, 1932, "
C-2,RGC,PSME,16.3,2023,1916,107,n,2.35,6.7,1.34,0.746268657,1.753731343,109,"2013,2012, 2006, 2002, 1982, 1966, 1963, 1956, 1954, 1932, 1925"
C-2,RGC,PSME,9.5,2023,1941,82,n,3.25,2.4,0.48,2.083333333,6.770833333,89,
C-2,RGC,PSME,11.5,2023,1911,112,n,8.15,4.55,0.91,1.098901099,8.956043956,121,
C-2,RGC,PSME,15.4,2023,1921,102,n,6.25,3.35,0.67,1.492537313,9.328358209,111,"2013,2012, 2006,1956,, 1925,"
C-2,RGC,PSME,9.5,2023,1941,82,n,2.55,1.35,0.27,3.703703704,9.444444444,91,"2013, 2012, 2006, 2002, 1966, 1963, 1956, 1954,"
C-2,RGC,PSME,8.2,2023,1978,45,y,0,0,0,0,0,45,"2013,2012, 2006,2002, 1982, "
C-2,RGC,PSME,5.5,2023,1987,36,y,0,0,0,0,0,36,"2013,2012, "
C-2,RGC,PSME,9.5,2023,1913,110,y,0,0,0,0,0,110,"2013,2012, 2006, 2002, 1982, 1966, 1963, 1956, 1954, 1932, 1925, "
C-2,RGC,PSME,21.1,2023,1941,82,y,0,0,0,0,0,82,"2013,2012, 2006, 2002, 1982, 1966, 1963, 1956, 1954"
C-2,RGC,PSME,27.5,2023,1800,223,y,0,0,0,0,0,223,"2013,2012, 2006, 2002, 1982, 1966, 1963, 1956, 1954, 1932, 1925, 1908"
CPP1,MG,PSME,30.1,2022,1903,119,n,13.9,13,2.6,0.384615385,5.346153846,124,"2013, 2012, 2002, 1925"
CPP1,MG,PSME,27,2022,1913,109,n,27.6,6.4,1.28,0.78125,21.5625,131,"2012, 2013,1982, 1975, 1925"
CPP1,MG,PSME,39.9,2022,1884,138,n,4.3,12.2,2.44,0.409836066,1.762295082,140,"1956, 1954, 1932, 1925, "
CPP1 ,MG,PIPO,35.9,2022,1770,252,n,4.8,6.3,1.26,0.793650794,3.80952381,256,"2013, 2012, 2008, 1982, "
CPP1 ,MG,PIPO,12.6,2022,1931,91,n,19.5,8.1,1.62,0.617283951,12.03703704,103,"2013, 2012, 1966"
CPP1 ,MG,PSME,27.1,2022,1910,112,n,5.55,11.6,2.32,0.431034483,2.392241379,114,"2013, 2012, 2006, 2002, 1982, 1981"
CPP1 ,MG,PSME,34.8,2022,1900,122,n,12.95,11,2.2,0.454545455,5.886363636,128,"2012, 2013, 2006, 2002, 1956, 1954, 1925"
CPP2,MG,PIPO,22,2022,1910,112,n,2.85,9.15,1.83,0.546448087,1.557377049,114,"2013, 2012, 2006, 2002, 1982, 1975, 1963, 1956, 1954, 1932"
CPP2,MG,PIPO,12.3,2022,1923,99,n,4,8.3,1.66,0.602409639,2.409638554,101,
CPP2,RGC,PIPO,21.7,2022,1907,115,n,5.5,7.75,1.55,0.64516129,3.548387097,119,"2013,2012, 2006, 2002, 1982, 1966, 1963, 1956, 1954, 1932, 1925, 1908"
CPP2,RGC,PIPO,24.2,2022,1906,116,n,,5.7,1.14,0.877192982,0,116,"2013,2012, 2006, 2002, 1982, 1966, 1963, 1956, 1954, 1932, 1925, 1908"
CPP2,MG,PIPO,30.7,2022,1898,124,n,14.4,13.8,2.76,0.362318841,5.217391304,129,"2013, 2012, 1925"
CPP2,MG,PIPO,21.5,2022,1912,110,n,24.6,17.6,3.52,0.284090909,6.988636364,117,"2013, 2012, 2006, 1982, 1925, "
CPP2,MG,PIPO,13.6,2022,1914,108,n,19.1,9.6,1.92,0.520833333,9.947916667,118,
CPP2,MG,PSME,22.6,2022,1918,104,n,4.7,10.4,2.08,0.480769231,2.259615385,106,"2013, 2012, 2006"
CPP2,MG,PSME,15.8,2022,1895,127,n,2,7.4,1.48,0.675675676,1.351351351,128,"2013, 2012, 2006, 2002"
CPP2,MG,PSME,24.7,2022,1897,125,n,8.9,10.8,2.16,0.462962963,4.12037037,129,
CPP2,MG,PSME,20,2022,1894,128,n,7.8,10,2,0.5,3.9,132,"2013, 2012, 2006, 1940"
CPP2,MG,PSME,15.5,2022,1892,130,n,3,6.6,1.32,0.757575758,2.272727273,132,"2013, 2012, 1925, "
CPP2,MG,PSME,9,2022,1922,100,n,3.5,9.7,1.94,0.515463918,1.804123711,102,
CPP3,MG,PIPO,46.3,2022,1774,248,n,29.9,30.8,6.16,0.162337662,4.853896104,253,"1983, 1887, 1856, 1790, "
CPP3,MG,PIPO,13.7,2022,1918,104,n,5.4,10.9,2.18,0.458715596,2.47706422,106,"2013, 2012"
CPP3,MG,PSME,31.2,2022,1904,118,n,17,24.6,4.92,0.203252033,3.455284553,121,"2013, 2012, 1968, 1966, 1956, 1954, "
CPP3,MG,PSME,17.2,2022,1897,125,n,3.2,9,1.8,0.555555556,1.777777778,127,
CPP3,MG,PSME,34.5,2022,1880,142,n,13.95,10.2,2.04,0.490196078,6.838235294,149,"2012, 2013, 2006, 2002, 1956, 1954, 1932, 1925"
CPP3,MG,PSME,36.5,2022,1888,134,y,0,0,0,0,0,134,"2013, 2012, 2006, 2002, 1968, 1966, 1956, 1954, 1932, 1925, "
CPP4,MG,PIPO,9.2,2022,1928,94,n,11.6,6.8,1.36,0.735294118,8.529411765,103,
CPP4,MG,PIPO,37.9,2022,1820,202,n,22.8,12.4,2.48,0.403225806,9.193548387,211,"1982, 1956, 1954"
CPP4,MG,PSME,42.5,2022,1921,101,n,2.7,8.85,1.77,0.564971751,1.525423729,103,"2013,2012, 1956, 1954, 1925"
CPP4,JS,PSME,16.6,2022,1919,103,n,5.5,6.15,1.23,0.81300813,4.471544715,107,"2013, 2012, 2002, 1966, 1963, 1956, 1954, 1925"
CPP4,MG,PSME,25.2,2022,1904,118,n,1.3,12,2.4,0.416666667,0.541666667,119,
CPP4,MG,PSME,20.5,2022,1903,119,n,2.7,9.5,1.9,0.526315789,1.421052632,120,"2013, 2012, 2006, 2002, "
CPP4,MG,PSME,25.2,2022,1901,121,n,7.45,12.35,2.47,0.4048583,3.016194332,124,"2013, 2012, 2006, 2002, 1963, 1956, 1954, 1925, "
CPP4,MG,PSME,32.9,2022,1879,143,n,2.45,3.7,0.74,1.351351351,3.310810811,146,"2013, 2012, 2006, 2002, 1956, 1954, 1932, 1925"
CPP5,MG,PSME,41,2022,1900,122,n,7.4,16,3.2,0.3125,2.3125,124,"2013, 2012"
CPP5,MG,PSME,41.1,2022,1835,187,n,12.15,15.8,3.16,0.316455696,3.844936709,191,"2013, 2012, 1956, 1954, 1932, 1925, 1886"
