"","Plot","Species","DBH","Status","Decay","Height.Class","Adjusted.Age"
"1","C-2","PIPO",21.1,"1",NA,3,NA
"2","C-2","PIPO",10,"1",NA,5,99
"3","C-2","PIPO",15.3,"1",NA,3,NA
"4","C-2","PIPO",18.5,"1",NA,3,NA
"5","C-2","PIPO",14.2,"1",NA,3,NA
"6","C-2","PIPO",19.9,"1",NA,3,NA
"7","C-2","PIPO",13.1,"1",NA,5,NA
"8","C-2","PIPO",18.2,"1",NA,3,115
"9","C-2","PIPO",18.7,"1",NA,4,NA
"10","C-2","PIPO",8.5,"1",NA,5,NA
"11","C-2","PIPO",7,"1",NA,5,NA
"12","C-2","PIPO",12.1,"1",NA,4,NA
"13","C-2","PIPO",13.6,"1",NA,4,NA
"14","C-2","PIPO",9.2,"1",NA,5,NA
"15","C-2","PIPO",10.5,"1",NA,5,NA
"16","C-2","PIPO",10.9,"1",NA,5,117
"17","C-2","PIPO",7.7,"1",NA,5,NA
"18","C-2","PIPO",15.7,"1",NA,4,NA
"19","C-2","PIPO",19.6,"1",NA,3,NA
"20","C-2","PIPO",15.2,"1",NA,4,75
"21","C-2","PIPO",9.3,"1",NA,5,NA
"22","C-2","PIPO",11.6,"1",NA,5,NA
"23","C-2","PIPO",9.3,"1",NA,5,NA
"24","C-2","PIPO",10.5,"1",NA,5,NA
"25","C-2","PIPO",14.9,"1",NA,4,NA
"26","C-2","PIPO",11.5,"1",NA,5,NA
"27","C-2","PIPO",10.2,"1",NA,4,117
"28","C-2","PIPO",18.6,"1",NA,3,NA
"29","C-2","PIPO",8.8,"1",NA,5,NA
"30","C-2","PIPO",9.1,"1",NA,5,NA
"31","C-2","PIPO",11.8,"1",NA,5,NA
"32","C-2","PIPO",10.5,"1",NA,5,NA
"33","C-2","PIPO",15.3,"1",NA,5,NA
"34","C-2","PIPO",16.8,"1",NA,4,NA
"35","C-2","PIPO",18,"1",NA,3,NA
"36","C-2","PIPO",7.2,"1",NA,5,NA
"37","C-2","PIPO",13,"1",NA,4,NA
"38","C-2","PIPO",7.9,"1",NA,5,NA
"39","C-2","PIPO",8.6,"1",NA,5,NA
"40","C-2","PIPO",7.5,"1",NA,5,NA
"41","C-2","PIPO",16.2,"1",NA,3,NA
"42","C-2","PIPO",10.3,"1",NA,3,NA
"43","C-2","PIPO",18,"1",NA,3,NA
"44","C-2","PIPO",9.8,"1",NA,5,NA
"45","C-2","PIPO",6.5,"1",NA,5,NA
"46","C-2","PIPO",6,"1",NA,5,NA
"47","C-2","PIPO",15.6,"1",NA,5,NA
"48","C-2","PIPO",11.5,"1",NA,4,NA
"49","C-2","PIPO",11.3,"1",NA,4,NA
"50","C-2","PIPO",19.8,"1",NA,3,NA
"51","C-2","PIPO",20.4,"1",NA,3,NA
"52","C-2","PIPO",6.8,"1",NA,5,NA
"53","C-2","PIPO",14.8,"1",NA,3,NA
"54","C-2","PIPO",12,"1",NA,4,NA
"55","C-2","PIPO",17,"1",NA,4,NA
"56","C-2","PIPO",8.4,"1",NA,5,NA
"57","C-2","PIPO",10.1,"1",NA,5,NA
"58","C-2","PIPO",6.1,"1",NA,5,NA
"59","C-2","PIPO",5.8,"1",NA,5,NA
"60","C-2","PIPO",10.7,"1",NA,4,NA
"61","C-2","PIPO",14.9,"1",NA,3,NA
"62","C-2","PIPO",16.6,"1",NA,3,113
"63","C-2","PIPO",17,"1",NA,4,NA
"64","C-2","PIPO",13.4,"1",NA,4,NA
"65","C-2","PIPO",7,"1",NA,5,NA
"66","C-2","PIPO",6,"1",NA,5,NA
"67","C-2","PIPO",9,"1",NA,5,NA
"68","C-2","PIPO",15.9,"1",NA,3,NA
"69","C-2","PIPO",16.4,"1",NA,3,NA
"70","C-2","PIPO",12.8,"1",NA,4,NA
"71","C-2","PIPO",8,"1",NA,5,NA
"72","C-2","PIPO",14.5,"1",NA,4,NA
"73","C-2","PIPO",6,"1",NA,5,NA
"74","C-2","PIPO",5.5,"1",NA,5,NA
"75","C-2","PIPO",11.2,"1",NA,4,NA
"76","C-2","PIPO",9.5,"1",NA,4,NA
"77","C-2","PIPO",9.7,"1",NA,5,NA
"78","C-2","PIPO",14.4,"1",NA,4,NA
"79","C-2","PIPO",10.8,"1",NA,4,NA
"80","C-2","PIPO",12.8,"1",NA,4,NA
"81","C-2","PIPO",11.8,"1",NA,4,NA
"82","C-2","PIPO",7.5,"1",NA,5,NA
"83","C-2","PIPO",11.5,"1",NA,5,NA
"84","C-2","PIPO",12.5,"1",NA,4,NA
"85","C-2","PIPO",7.6,"1",NA,5,102
"86","C-2","PIPO",7.7,"1",NA,5,NA
"87","C-2","PIPO",11.2,"1",NA,4,NA
"88","C-2","PIPO",7.5,"1",NA,5,NA
"89","C-2","PIPO",8.3,"1",NA,5,NA
"90","C-2","PIPO",8.2,"1",NA,5,NA
"91","C-2","PIPO",6.2,"1",NA,5,NA
"92","C-2","PIPO",11.6,"1",NA,5,NA
"93","C-2","PIPO",12.7,"1",NA,4,NA
"94","C-2","PIPO",6.1,"1",NA,5,NA
"95","C-2","PIPO",9.5,"1",NA,4,NA
"96","C-2","PIPO",7.4,"1",NA,5,NA
"97","C-2","PSME",41.4,"1",NA,1,NA
"98","C-2","PSME",31,"1",NA,2,NA
"99","C-2","PSME",5.5,"1",NA,5,36
"100","C-2","PSME",8,"1",NA,5,NA
"101","C-2","PSME",7.7,"1",NA,5,NA
"102","C-2","PSME",6.5,"1",NA,5,NA
"103","C-2","PSME",27,"1",NA,3,NA
"104","C-2","PSME",5.5,"1",NA,5,36
"105","C-2","PSME",5.5,"1",NA,5,36
"106","C-2","PSME",17.7,"1",NA,4,NA
"107","C-2","PSME",11.2,"1",NA,4,115
"108","C-2","PSME",17.1,"1",NA,4,NA
"109","C-2","PSME",11,"1",NA,5,NA
"110","C-2","PSME",15.7,"1",NA,3,NA
"111","C-2","PSME",15.4,"1",NA,4,111
"112","C-2","PSME",5.5,"1",NA,5,36
"113","C-2","PSME",27.6,"1",NA,3,NA
"114","C-2","PSME",22,"1",NA,3,NA
"115","C-2","PSME",32.1,"1",NA,3,NA
"116","C-2","PSME",11.4,"1",NA,5,NA
"117","C-2","PIPO",6.1,"2",2,NA,NA
"118","C-2","PIPO",5,"2",2,NA,NA
"119","C-2","PIPO",6.5,"2",2,NA,NA
"120","C-2","PIPO",8.5,"2",4,NA,NA
"121","C-2","PIPO",7.1,"2",4,NA,NA
"122","C-2","PIPO",14.8,"2",6,NA,NA
"123","C-2","PIPO",5,"2",6,NA,NA
"124","C-2","PIPO",15.7,"3",NA,4,NA
"125","C-2","PIPO",35,"4",5,NA,NA
"126","C-2","PIPO",22,"4",6,NA,NA
"127","C-2","PIPO",30.1,"4",6,NA,NA
"128","C-2","PSME",60,"4",5,NA,NA
"129","C-2","PIPO",14.4,"6",6,NA,NA
