"","Plot","Species","DBH","Status","Decay","Height.Class","Adjusted.Age"
"1","CPP1","PIPO",35.9,"1",NA,2,NA
"2","CPP1","PIPO",34.5,"1",NA,2,NA
"3","CPP1","PIPO",12.7,"1",NA,3,NA
"4","CPP1","PIPO",12.6,"1",NA,2,NA
"5","CPP1","PIPO",15.2,"1",NA,2,NA
"6","CPP1","PIPO",10.5,"1",NA,3,NA
"7","CPP1","PIPO",5.5,"1",NA,5,NA
"8","CPP1","PIPO",20.2,"1",NA,2,NA
"9","CPP1","PIPO",10,"1",NA,3,NA
"10","CPP1","PIPO",9,"1",NA,3,NA
"11","CPP1","PIPO",10.3,"1",NA,3,NA
"12","CPP1","PIPO",26.9,"1",NA,2,NA
"13","CPP1","PIPO",10.8,"1",NA,3,NA
"14","CPP1","PIPO",18.8,"1",NA,3,NA
"15","CPP1","PIPO",22,"1",NA,2,NA
"16","CPP1","PIPO",16.9,"1",NA,3,NA
"17","CPP1","PIPO",22.5,"1",NA,2,NA
"18","CPP1","PIPO",20,"1",NA,2,NA
"19","CPP1","PIPO",17.3,"1",NA,4,NA
"20","CPP1","PIPO",18.8,"1",NA,3,NA
"21","CPP1","PIPO",8.6,"1",NA,4,NA
"22","CPP1","PIPO",6.2,"1",NA,4,NA
"23","CPP1","PIPO",17.7,"1",NA,2,NA
"24","CPP1","PIPO",13.7,"1",NA,3,NA
"25","CPP1","PSME",27.1,"1",NA,2,NA
"26","CPP1","PSME",10.9,"1",NA,3,NA
"27","CPP1","PSME",12.2,"1",NA,5,NA
"28","CPP1","PSME",14.4,"1",NA,2,NA
"29","CPP1","PSME",15.9,"1",NA,2,NA
"30","CPP1","PSME",9.3,"1",NA,3,NA
"31","CPP1","PSME",4.8,"1",NA,5,NA
"32","CPP1","PSME",14.3,"1",NA,4,NA
"33","CPP1","PSME",22.4,"1",NA,3,NA
"34","CPP1","PSME",23.9,"1",NA,2,NA
"35","CPP1","PSME",39.3,"1",NA,2,NA
"36","CPP1","PSME",30.1,"1",NA,2,124
"37","CPP1","PSME",27.2,"1",NA,2,NA
"38","CPP1","PSME",23.2,"1",NA,2,NA
"39","CPP1","PSME",19,"1",NA,2,NA
"40","CPP1","PSME",29.7,"1",NA,2,NA
"41","CPP1","PSME",27,"1",NA,2,131
"42","CPP1","PSME",26,"1",NA,2,NA
"43","CPP1","PSME",22.7,"1",NA,2,NA
"44","CPP1","PSME",6.4,"1",NA,4,NA
"45","CPP1","PSME",34.8,"1",NA,2,NA
"46","CPP1","PSME",35.4,"1",NA,2,NA
"47","CPP1","PSME",7,"1",NA,4,NA
"48","CPP1","PSME",12.9,"1",NA,3,NA
"49","CPP1","PIPO",5,"2",4,NA,NA
"50","CPP1","PIPO",19.1,"2",4,NA,NA
"51","CPP1","PIPO",8,"2",4,NA,NA
"52","CPP1","PSME",6.5,"2",4,NA,NA
"53","CPP1","PSME",11.3,"2",4,NA,NA
"54","CPP1","PSME",8.5,"2",4,NA,NA
"55","CPP1","PSME",15,"2",4,NA,NA
"56","CPP1","PIPO",30,"3",6,NA,NA
"57","CPP1","PIPO",24,"3",6,NA,NA
"58","CPP1","PSME",13,"3",4,NA,NA
"59","CPP1","PSME",9,"3",4,NA,NA
"60","CPP1","PSME",16.8,"3",4,NA,NA
"61","CPP1","PSME",15,"3",5,NA,NA
"62","CPP1","PIPO",23,"4",5,NA,NA
"63","CPP1","PSME",25,"4",4,NA,NA
"64","CPP1","PSME",21,"4",4,NA,NA
"65","CPP1","PSME",22,"4",4,NA,NA
"66","CPP1","PSME",22,"4",4,NA,NA
"67","CPP1","PIPO",19,"5",4,NA,NA
