Plot #,Species,DBH,Status,Decay,Height Class
C-1,PIPO,39,1,,1
C-1,PIPO,7.6,1,,5
C-1,PIPO,24.5,1,,2
C-1,PIPO,17.3,1,,5
C-1,PIPO,37.8,1,,3
C-1,PIPO,42.5,1,,2
C-1,PIPO,10.8,1,,5
C-1,PIPO,23,1,,3
C-1,PIPO,5.2,1,,5
C-1,PIPO,8.5,1,,5
C-1,PIPO,25.4,1,,3
C-1,PIPO,10.6,1,,5
C-1,PIPO,10.1,1,,5
C-1,PIPO,10.5,1,,4
C-1,PIPO,36.2,1,,2
C-1,PIPO,16.3,1,,3
C-1,PIPO,8.4,1,,5
C-1,PIPO,25.5,1,,3
C-1,PIPO,19.6,1,,5
C-1,PIPO,22.2,1,,3
C-1,PIPO,42.9,1,,2
C-1,PIPO,22.1,1,,3
C-1,PIPO,9.1,1,,5
C-1,PIPO,16.5,1,,3
C-1,PIPO,SAP,1,,5
C-1,PIPO,19.1,1,,3
C-1,PIPO,39,1,,2
C-1,PIPO,9.2,1,,5
C-1,PIPO,33.8,1,,3
C-1,PIPO,23.1,1,,3
C-1,PIPO,19.4,1,,3
C-1,PIPO,15.3,1,,3
C-1,PIPO,9,1,,5
C-1,PIPO,16.4,1,,5
C-1,PIPO,17.2,1,,4
C-1,PIPO,11.3,1,,5
C-1,PIPO,5.9,1,,5
C-1,PSME,SAP,1,,5
C-1,PSME,SAP,1,,5
C-1,PSME,21.1,1,,5
C-1,PSME,8,1,,5
C-1,PIPO,10.5,2,2,
C-1,PIPO,SAP,2,2,
C-1,PIPO,14.9,2,5,
C-1,PIPO,20,3,5,
C-1,PIPO,33.5,5,6,
C-1,PIPO,23.5,5,6,
C-2,PIPO,21.1,1,,3
C-2,PIPO,10,1,,5
C-2,PIPO,15.3,1,,3
C-2,PIPO,18.5,1,,3
C-2,PIPO,14.2,1,,3
C-2,PIPO,19.9,1,,3
C-2,PIPO,13.1,1,,5
C-2,PIPO,18.2,1,,3
C-2,PIPO,18.7,1,,4
C-2,PIPO,8.5,1,,5
C-2,PIPO,7,1,,5
C-2,PIPO,12.1,1,,4
C-2,PIPO,13.6,1,,4
C-2,PIPO,9.2,1,,5
C-2,PIPO,10.5,1,,5
C-2,PIPO,10.9,1,,5
C-2,PIPO,7.7,1,,5
C-2,PIPO,15.7,1,,4
C-2,PIPO,19.6,1,,3
C-2,PIPO,15.2,1,,4
C-2,PIPO,9.3,1,,5
C-2,PIPO,11.6,1,,5
C-2,PIPO,9.3,1,,5
C-2,PIPO,10.5,1,,5
C-2,PIPO,14.9,1,,4
C-2,PIPO,11.5,1,,5
C-2,PIPO,10.2,1,,4
C-2,PIPO,18.6,1,,3
C-2,PIPO,8.8,1,,5
C-2,PIPO,9.1,1,,5
C-2,PIPO,11.8,1,,5
C-2,PIPO,10.5,1,,5
C-2,PIPO,15.3,1,,5
C-2,PIPO,16.8,1,,4
C-2,PIPO,18,1,,3
C-2,PIPO,7.2,1,,5
C-2,PIPO,13,1,,4
C-2,PIPO,7.9,1,,5
C-2,PIPO,8.6,1,,5
C-2,PIPO,7.5,1,,5
C-2,PIPO,16.2,1,,3
C-2,PIPO,10.3,1,,3
C-2,PIPO,18,1,,3
C-2,PIPO,9.8,1,,5
C-2,PIPO,6.5,1,,5
C-2,PIPO,6,1,,5
C-2,PIPO,15.6,1,,5
C-2,PIPO,11.5,1,,4
C-2,PIPO,11.3,1,,4
C-2,PIPO,19.8,1,,3
C-2,PIPO,20.4,1,,3
C-2,PIPO,6.8,1,,5
C-2,PIPO,14.8,1,,3
C-2,PIPO,12,1,,4
C-2,PIPO,17,1,,4
C-2,PIPO,8.4,1,,5
C-2,PIPO,10.1,1,,5
C-2,PIPO,6.1,1,,5
C-2,PIPO,5.8,1,,5
C-2,PIPO,10.7,1,,4
C-2,PIPO,14.9,1,,3
C-2,PIPO,16.6,1,,3
C-2,PIPO,17,1,,4
C-2,PIPO,13.4,1,,4
C-2,PIPO,7,1,,5
C-2,PIPO,6,1,,5
C-2,PIPO,9,1,,5
C-2,PIPO,15.9,1,,3
C-2,PIPO,16.4,1,,3
C-2,PIPO,12.8,1,,4
C-2,PIPO,8,1,,5
C-2,PIPO,14.5,1,,4
C-2,PIPO,6,1,,5
C-2,PIPO,5.5,1,,5
C-2,PIPO,11.2,1,,4
C-2,PIPO,9.5,1,,4
C-2,PIPO,9.7,1,,5
C-2,PIPO,14.4,1,,4
C-2,PIPO,10.8,1,,4
C-2,PIPO,12.8,1,,4
C-2,PIPO,11.8,1,,4
C-2,PIPO,7.5,1,,5
C-2,PIPO,11.5,1,,5
C-2,PIPO,12.5,1,,4
C-2,PIPO,7.6,1,,5
C-2,PIPO,7.7,1,,5
C-2,PIPO,11.2,1,,4
C-2,PIPO,7.5,1,,5
C-2,PIPO,8.3,1,,5
C-2,PIPO,8.2,1,,5
C-2,PIPO,6.2,1,,5
C-2,PIPO,11.6,1,,5
C-2,PIPO,12.7,1,,4
C-2,PIPO,6.1,1,,5
C-2,PIPO,9.5,1,,4
C-2,PIPO,7.4,1,,5
C-2,POTR,5.2,1,,5
C-2,PSME,41.4,1,,1
C-2,PSME,31,1,,2
C-2,PSME,5.5,1,,5
C-2,PSME,8,1,,5
C-2,PSME,7.7,1,,5
C-2,PSME,6.5,1,,5
C-2,PSME,27,1,,3
C-2,PSME,5.5,1,,5
C-2,PSME,5.5,1,,5
C-2,PSME,17.7,1,,4
C-2,PSME,11.2,1,,4
C-2,PSME,17.1,1,,4
C-2,PSME,11,1,,5
C-2,PSME,15.7,1,,3
C-2,PSME,15.4,1,,4
C-2,PSME,5.5,1,,5
C-2,PSME,27.6,1,,3
C-2,PSME,22,1,,3
C-2,PSME,32.1,1,,3
C-2,PSME,11.4,1,,5
C-2,PIPO,6.1,2,2,
C-2,PIPO,5,2,2,
C-2,PIPO,6.5,2,2,
C-2,PIPO,8.5,2,4,
C-2,PIPO,7.1,2,4,
C-2,PIPO,14.8,2,6,
C-2,PIPO,5,2,6,
C-2,PIPO,15.7,3,,4
C-2,PIPO,35,4,5,
C-2,PIPO,22,4,6,
C-2,PIPO,30.1,4,6,
C-2,PSME,60,4,5,
C-2,PIPO,14.4,6,6,
CPP1,PIPO,35.9,1,,2
CPP1,PIPO,34.5,1,,2
CPP1,PIPO,12.7,1,,3
CPP1,PIPO,12.6,1,,2
CPP1,PIPO,15.2,1,,2
CPP1,PIPO,10.5,1,,3
CPP1,PIPO,5.5,1,,5
CPP1,PIPO,20.2,1,,2
CPP1,PIPO,10,1,,3
CPP1,PIPO,9,1,,3
CPP1,PIPO,10.3,1,,3
CPP1,PIPO,26.9,1,,2
CPP1,PIPO,10.8,1,,3
CPP1,PIPO,18.8,1,,3
CPP1,PIPO,22,1,,2
CPP1,PIPO,16.9,1,,3
CPP1,PIPO,22.5,1,,2
CPP1,PIPO,20,1,,2
CPP1,PIPO,17.3,1,,4
CPP1,PIPO,18.8,1,,3
CPP1,PIPO,8.6,1,,4
CPP1,PIPO,6.2,1,,4
CPP1,PIPO,17.7,1,,2
CPP1,PIPO,13.7,1,,3
CPP1,PSME,27.1,1,,2
CPP1,PSME,10.9,1,,3
CPP1,PSME,12.2,1,,5
CPP1,PSME,14.4,1,,2
CPP1,PSME,15.9,1,,2
CPP1,PSME,9.3,1,,3
CPP1,PSME,4.8,1,,5
CPP1,PSME,14.3,1,,4
CPP1,PSME,22.4,1,,3
CPP1,PSME,23.9,1,,2
CPP1,PSME,39.3,1,,2
CPP1,PSME,30.1,1,,2
CPP1,PSME,27.2,1,,2
CPP1,PSME,23.2,1,,2
CPP1,PSME,19,1,,2
CPP1,PSME,29.7,1,,2
CPP1,PSME,27,1,,2
CPP1,PSME,26,1,,2
CPP1,PSME,22.7,1,,2
CPP1,PSME,6.4,1,,4
CPP1,PSME,34.8,1,,2
CPP1,PSME,35.4,1,,2
CPP1,PSME,7,1,,4
CPP1,PSME,12.9,1,,3
CPP1,PIPO,5,2,4,
CPP1,PIPO,19.1,2,4,
CPP1,PIPO,8,2,4,
CPP1,PSME,6.5,2,4,
CPP1,PSME,11.3,2,4,
CPP1,PSME,8.5,2,4,
CPP1,PSME,15,2,4,
CPP1,PIPO,30,3,6,
CPP1,PIPO,24,3,6,
CPP1,PSME,13,3,4,
CPP1,PSME,9,3,4,
CPP1,PSME,16.8,3,4,
CPP1,PSME,15,3,5,
CPP1,PIPO,23,4,5,
CPP1,PSME,25,4,4,
CPP1,PSME,21,4,4,
CPP1,PSME,22,4,4,
CPP1,PSME,22,4,4,
CPP1,PIPO,19,5,4,
CPP1,PIPO,18,5,4,
CPP1,PIPO,20,5,6,
CPP1,PSME,30,5,4,
CPP1,PSME,14,5,4,
CPP2,PIPO,13.8,1,,3
CPP2,PIPO,13.7,1,,3
CPP2,PIPO,8.1,1,,4
CPP2,PIPO,5.3,1,,5
CPP2,PIPO,25.5,1,,3
CPP2,PIPO,28.1,1,,2
CPP2,PIPO,46.3,1,,1
CPP2,PIPO,9.5,1,,4
CPP2,PIPO,26.7,1,,2
CPP2,PIPO,7,1,,4
CPP2,PIPO,14,1,,3
CPP2,PIPO,16.3,1,,4
CPP2,PIPO,11.1,1,,3
CPP2,PIPO,20.5,1,,3
CPP2,PSME,13.1,1,,3
CPP2,PSME,28.3,1,,2
CPP2,PSME,40.5,1,,1
CPP2,PSME,17.2,1,,3
CPP2,PSME,25.3,1,,2
CPP2,PSME,27.3,1,,2
CPP2,PSME,22.4,1,,2
CPP2,PSME,9.2,1,,5
CPP2,PSME,23,1,,2
CPP2,PSME,8.1,1,,5
CPP2,PSME,34.5,1,,1
CPP2,PSME,26.4,1,,2
CPP2,PSME,13.2,1,,3
CPP2,PSME,24,1,,2
CPP2,PSME,22.9,1,,1
CPP2,PSME,33.6,1,,1
CPP2,PSME,20,1,,4
CPP2,PSME,28.4,1,,2
CPP2,PSME,31.2,1,,2
CPP2,PSME,23.4,1,,2
CPP2,PSME,36,1,,2
CPP2,PSME,36.5,1,,
CPP2,PSME,13.5,1,,2
CPP2,PIPO,6.2,2,2,
CPP2,PIPO,12,2,6,
CPP2,PSME,6.3,2,2,
CPP2,PSME,6.5,2,2,
CPP2,PSME,5.8,2,3,
CPP2,PSME,8,2,4,
CPP2,PSME,8,2,4,
CPP2,PSME,9.6,2,4,
CPP2,PSME,6.4,2,4,
CPP2,PSME,10,2,5,
CPP2,PSME,5.9,2,5,
CPP2,PSME,8.4,2,5,
CPP2,PIPO,11.4,3,4,
CPP2,PIPO,14.4,3,5,
CPP2,PSME,6.6,3,2,
CPP2,PSME,9,3,3,
CPP2,PSME,8.7,3,3,
CPP2,PSME,14,3,4,
CPP2,PSME,9.3,3,4,
CPP2,PSME,7.7,3,5,
CPP2,PSME,32,3,6,
CPP2,PSME,24,3,6,
CPP2,PSME,15.3,3,,4
CPP2,PSME,45,4,5,
CPP2,PIPO,5,5,4,
CPP2,PIPO,21.5,5,5,
CPP2,PIPO,8.5,5,5,
CPP2,PSME,6.5,5,4,
CPP2,PSME,10,5,5,
CPP2,PSME,9,5,5,
CPP2,PSME,10,5,6,
CPP2,PSME,12,5,6,
CPP2,PSME,12.9,-,,4
CPP3,JUSC,10.2,1,,5
CPP3,PIPO,13,1,,2
CPP3,PIPO,17.3,1,,2
CPP3,PIPO,15.1,1,,3
CPP3,PIPO,22,1,,2
CPP3,PIPO,16.6,1,,4
CPP3,PIPO,10.8,1,,4
CPP3,PIPO,8.2,1,,5
CPP3,PIPO,6.8,1,,5
CPP3,PIPO,20.8,1,,3
CPP3,PIPO,17.6,1,,3
CPP3,PIPO,7.1,1,,5
CPP3,PIPO,21.7,1,,2
CPP3,PIPO,7.2,1,,5
CPP3,PIPO,13.3,1,,4
CPP3,PIPO,20.3,1,,3
CPP3,PIPO,7.8,1,,5
CPP3,PIPO,21.9,1,,2
CPP3,PIPO,14,1,,4
CPP3,PIPO,18.3,1,,4
CPP3,PIPO,12.3,1,,4
CPP3,PIPO,14.6,1,,4
CPP3,PIPO,16.5,1,,3
CPP3,PIPO,16.9,1,,3
CPP3,PIPO,11.6,1,,5
CPP3,PIPO,7,1,,5
CPP3,PIPO,14,1,,4
CPP3,PIPO,24.2,1,,2
CPP3,PIPO,17.1,1,,3
CPP3,PIPO,19.7,1,,4
CPP3,PIPO,12.8,1,,5
CPP3,PIPO,30,1,,2
CPP3,PIPO,14.8,1,,4
CPP3,PIPO,16.1,1,,4
CPP3,PIPO,17.3,1,,4
CPP3,PIPO,14.3,1,,5
CPP3,PIPO,9.1,1,,5
CPP3,PSME,24,1,2,
CPP3,PSME,12.7,1,,2
CPP3,PSME,17.6,1,,2
CPP3,PSME,15.5,1,,2
CPP3,PSME,19.3,1,,3
CPP3,PSME,15.9,1,,4
CPP3,PSME,13.8,1,,3
CPP3,PSME,20.2,1,,3
CPP3,PSME,24.3,1,,2
CPP3,PSME,16,1,,3
CPP3,PSME,15.1,1,,4
CPP3,PSME,SAP,1,,5
CPP3,PSME,16.1,1,,3
CPP3,PSME,SAP,1,,5
CPP3,PSME,19.3,1,,4
CPP3,PSME,16.2,1,,4
CPP3,PSME,16.6,1,,3
CPP3,PSME,23.3,1,,2
CPP3,PSME,15.5,1,,4
CPP3,PSME,40.2,1,,2
CPP3,PSME,6.3,1,,5
CPP3,PSME,24.5,1,,2
CPP3,PSME,21.6,1,,3
CPP3,PSME,SAP,1,,5
CPP3,PSME,6,1,,5
CPP3,PSME,20,1,,3
CPP3,PSME,21.5,1,,3
CPP3,PSME,6.9,1,,5
CPP3,PSME,15.8,1,,3
CPP3,PSME,21.6,1,,3
CPP3,PSME,17.5,1,,4
CPP3,PSME,35.5,1,,2
CPP3,PSME,19.3,1,,3
CPP3,PSME,24.7,1,,3
CPP3,PSME,17.8,1,,3
CPP3,PSME,21.8,1,,4
CPP3,PSME,10.5,1,,5
CPP3,PSME,SAP,1,,5
CPP3,PSME,6.7,1,,5
CPP3,PSME,SAP,1,,5
CPP3,PSME,SAP,1,,5
CPP3,PSME,7.6,1,,5
CPP3,PSME,12,1,,5
CPP3,PSME,9.3,1,,5
CPP3,PIPO,11.9,2,1,
CPP3,PIPO,8.2,2,,2
CPP3,PSME,7,2,2,
CPP3,PSME,9.3,2,2,
CPP3,PSME,SAP,2,4,
CPP3,PSME,11.2,2,4,
CPP3,PSME,12.5,2,4,
CPP3,PSME,10.2,2,4,
CPP3,PSME,14.5,2,4,
CPP3,PSME,11,2,4,
CPP3,PSME,13.1,2,4,
CPP3,PSME,6.6,2,4,
CPP3,PSME,6.1,2,4,
CPP3,PSME,7.3,2,4,
CPP3,PSME,6.5,2,4,
CPP3,PSME,8.4,2,4,
CPP3,PSME,7.7,2,5,
CPP3,PSME,SAP,2,,2
CPP3,PIPO,11.9,3,3,
CPP3,PIPO,13,3,4,
CPP3,PIPO,9.2,3,4,
CPP3,PIPO,31.2,3,4,
CPP3,PSME,9,3,4,
CPP3,PSME,7.6,3,4,
CPP3,PSME,10.2,3,4,
CPP3,PSME,9.5,3,4,
CPP3,PSME,7.5,3,4,
CPP3,PSME,10,3,4,
CPP3,PIPO,24,4,6,
CPP3,PIPO,11.6,5,6,
CPP3,PIPO,10.8,6,3,
CPP3,PIPO,9.8,6,4,
CPP3,PIPO,8.7,6,4,
CPP3,PIPO,14.1,6,4,
CPP3,PIPO,9.8,6,4,
CPP3,PIPO,14.3,6,4,
CPP3,PIPO,9.8,6,5,
CPP3,PIPO,8.2,6,5,
CPP3,PIPO,13.2,6,6,
CPP3,PIPO,6.8,6,6,
CPP3,PIPO,22,6,6,
CPP3,PIPO,24.9,6,6,
CPP3,PSME,12.4,6,3,
CPP3,PSME,9,6,4,
CPP3,PSME,9.3,6,4,
CPP3,PSME,6,6,4,
CPP3,PSME,10.4,6,5,
CPP3,PSME,5.9,6,5,
CPP3,PSME,SAP,,,
CPP4,JUSC???,9,1,,4
CPP4,JUSC???,10.9,1,,3
CPP4,JUSC???,11.1,1,,3
CPP4,PIPO,37.9,1,,2
CPP4,PIPO,6.3,1,,5
CPP4,PIPO,9.1,1,,4
CPP4,PIPO,9.5,1,,4
CPP4,PIPO,9.1,1,,4
CPP4,PIPO,11,1,,4
CPP4,PIPO,14.1,1,,2
CPP4,PIPO,26.5,1,,2
CPP4,PIPO,13.6,1,,3
CPP4,PIPO,15.3,1,,2
CPP4,PIPO,24.9,1,,2
CPP4,PIPO,21.1,1,,2
CPP4,PIPO,17.2,1,,2
CPP4,PIPO,11.6,1,,4
CPP4,PIPO,15.1,1,,3
CPP4,PIPO,17.5,1,,3
CPP4,PIPO,20.3,1,,2
CPP4,PIPO,9.2,1,,4
CPP4,PIPO,9.6,1,,4
CPP4,PIPO,25,1,,2
CPP4,PIPO,11.3,1,,3
CPP4,PIPO,16.6,1,,2
CPP4,PIPO,11,1,,5
CPP4,PSME,17.3,1,,3
CPP4,PSME,19.1,1,,2
CPP4,PSME,16.6,1,,3
CPP4,PSME,12.3,1,,3
CPP4,PSME,25.2,1,,2
CPP4,PSME,17.9,1,,2
CPP4,PSME,38.7,1,,2
CPP4,PSME,22.5,1,,2
CPP4,PSME,36,1,,2
CPP4,PSME,17.5,1,,3
CPP4,PSME,32.9,1,,2
CPP4,PSME,20.1,1,,3
CPP4,PSME,25.6,1,,2
CPP4,PSME,32.8,1,,2
CPP4,PSME,28.6,1,,2
CPP4,PSME,21.3,1,,2
CPP4,PSME,20.5,1,,3
CPP4,PSME,25.2,1,,3
CPP4,PSME,20.5,1,,3
CPP4,PSME,8.2,1,,4
CPP4,PSME,33.4,1,,2
CPP4,PSME,19.3,1,,2
CPP4,PSME,8,1,,5
CPP4,PSME,10.4,1,,4
CPP4,PSME,42.5,1,,2
CPP4,PSME,8,1,,4
CPP4,PSME,15,1,,3
CPP4,PSME,22,1,,3
CPP4,PIPO,9.4,2,3,
CPP4,PSME,11.2,2,3,
CPP4,PSME,13.2,2,4,
CPP4,PSME,6,2,4,
CPP4,PSME,13,2,4,
CPP4,PSME,13.9,2,4,
CPP4,PSME,39,2,4,
CPP4,PSME,12.7,2,4,
CPP4,PSME,14.1,2,4,
CPP4,PSME,6.1,2,5,
CPP4,PSME,12,2,,4
CPP4,PIPO,19.5,3,4,
CPP4,PSME,11.5,3,2,
CPP4,PSME,11,3,4,
CPP4,PSME,5.4,3,4,
CPP4,PSME,8.2,3,4,
CPP4,PSME,10.9,3,4,
CPP4,PSME,9,3,4,
CPP4,PSME,12.8,3,4,
CPP4,PSME,9,3,5,
CPP4,PSME,32,3,6,
CPP4,PIPO,43,4,4,
CPP4,PIPO,20,4,5,
CPP4,PSME,28,4,5,
CPP4,PSME,41,4,6,
CPP4,PSME,15.4,5,4,
CPP5,PIPO,22.7,1,,2
CPP5,PIPO,8.5,1,,4
CPP5,PIPO,13.9,1,,4
CPP5,PIPO,13.2,1,,4
CPP5,PIPO,9.3,1,,5
CPP5,PIPO,14,1,,3
CPP5,PIPO,19.2,1,,3
CPP5,PIPO,23.4,1,,2
CPP5,PIPO,30.5,1,,2
CPP5,PIPO,14.4,1,,3
CPP5,PSME,6.5,1,,4
CPP5,PSME,12.3,1,,5
CPP5,PSME,33.1,1,,2
CPP5,PSME,23.5,1,,2
CPP5,PSME,24.1,1,,2
CPP5,PSME,25.3,1,,2
CPP5,PSME,29.1,1,,1
CPP5,PSME,31,1,,2
CPP5,PSME,32.6,1,,2
CPP5,PSME,39.5,1,,2
CPP5,PSME,8.7,1,,4
CPP5,PSME,19.7,1,,3
CPP5,PSME,20.6,1,,2
CPP5,PSME,41.1,1,,2
CPP5,PSME,22.1,1,,2
CPP5,PSME,26.3,1,,2
CPP5,PSME,27.5,1,,2
CPP5,PSME,41,1,,1
CPP5,PSME,23.1,1,,2
CPP5,PSME,14.8,2,2,
CPP5,PSME,11.2,2,2,
CPP5,PSME,12.7,2,2,
CPP5,PSME,19.7,2,3,
CPP5,PSME,9.3,2,4,
CPP5,PSME,6.5,2,5,
CPP5,PSME,17.8,2,5,
CPP5,PIPO,18,3,6,
CPP5,PSME,15.5,3,2,
CPP5,PSME,13.3,3,3,
CPP5,PSME,12.4,3,3,
CPP5,PSME,40,3,3,
CPP5,PSME,17,3,4,
CPP5,PSME,10,3,4,
CPP5,PSME,8,3,5,
CPP5,PSME,9,3,6,
CPP5,PSME,13,3,6,
CPP5,PSME,11,3,6,
CPP5,PSME,10,3,6,
CPP5,PSME,55,3,6,
CPP5,PSME,29,4,3,
