Transect,Plot #,Tree #,treeline pos.,Core,Species,Age,Status,Ht.,Decay,CONCLASS,Az.,x,y,2013 DBH,Dist.,AZMTH,x0,y0,X.calc,y.calc,x.abs,y.abs,BA 2013 (m^2/ha),Estab. Year,25% Death Date,50% Death Date,75% Death Date, 25% alive 1900,25% alive 1910, 25% alive 1920, 25% alive 1930, 25% alive 1940, 25% alive 1950, 25% alive 1960, 25% alive 1970, 25% alive 1980, 25% alive 1990, 25% alive 2000, 25% alive 2010,25% alive 2013,50% alive 1900,50% alive 1910,50% alive 1920,50% alive 1930,50% alive 1940,50% alive 1950,50% alive 1960,50% alive 1970,50% alive 1980,50% alive 1990,50% alive 2000,50% alive 2010,50% alive 2013,75% alive 1900,75% alive 1910,75% alive 1920,75% alive 1930,75% alive 1940,75% alive 1950,75% alive 1960,75% alive 1970,75% alive 1980,75% alive 1990,75% alive 2000,75% alive 2010,75% alive 2013
1,20,10,B,No,ABBI,113,6,-,2,8,124,0.9,656.8,22,0.96,261,0,657,-0.948180807,656.8498229,0.948180807,656.8498229,0.03801336,1900,1962,1987,2002,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
1,20,8,B,No,PIEN,143,6,-,7,8,114,0.4,650.6,40,6.41,176,0,657,0.447138997,650.6056144,0.447138997,650.6056144,0.125664,1870,1952,1983,2000,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
1,19,7,B,No,ABBI,142,6,-,4,8,47,7.1,637.2,39.3,12.11,216,0,647,-7.118079405,637.2028042,7.118079405,637.2028042,0.121304245,1871,1962,1987,2002,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
1,19,10,B,No,ABBI,123,6,-,7,8,132,7.6,641.2,28,9.57,233,0,647,-7.642941831,641.2406302,7.642941831,641.2406302,0.06157536,1890,1962,1987,2002,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
1,19,5,B,No,ABBI,156,2,3,2,3,-,0.3,637.4,47.5,9.65,182,0,647,-0.336780143,637.3558785,0.336780143,637.3558785,0.177205875,1857,2012,2012,2012,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
1,19,4,B,No,PIEN,178,2,2,2,3,-,1.5,640.0,60.3,7.13,192,0,647,-1.482410356,640.0258076,1.482410356,640.0258076,0.285578509,1835,2012,2012,2012,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
1,19,2,B,No,ABBI,108,2,4,2,3,-,2.2,643.9,19.4,3.78,215,0,647,-2.168118929,643.9036053,2.168118929,643.9036053,0.029559314,1905,2012,2012,2012,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
1,19,9,B,No,ABBI,105,2,5,2,3,-,7.7,640.8,17.4,9.92,231,0,647,-7.709287938,640.7571417,7.709287938,640.7571417,0.02377877,1908,2012,2012,2012,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
1,19,11,B,No,PIEN,140,6,-,5,8,131,5.6,644.6,38,6.05,247,0,647,-5.569054363,644.6360767,5.569054363,644.6360767,0.11341176,1873,1952,1983,2000,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
1,18,8,B,No,ABBI,131,6,-,5,8,119,3.3,635.0,32.6,3.9,239,0,637,-3.342952473,634.9913515,3.342952473,634.9913515,0.08346917,1882,1962,1987,2002,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
