Transect #,Plot #,Tree #,Core,Species,Age,Status,Ht.,Decay,Az.,x,y,DBH,Dist.,AZMTH,BA (m^2/ha),25% Decay,50% Decay,75% Decay,Notes
1,1,1,Yes,ABBI,41,1,2,-,-,,,20.7,7.4,256,0.033653605,,,,
1,1,2,Yes,ABBI,96,1,2,-,-,,,21.7,7.1,243,0.036983701,,,,
1,1,3,Yes,ABBI,124,1,2,-,-,,,21.2,8.1,240,0.035299018,,,,
1,1,4,No,ABBI,,1,-,-,-,,,SAP,8.3,237,,,,,
1,1,5,No,ABBI,,1,5,-,-,,,8.3,8.1,232,0.005410621,,,,
1,1,6,No,ABBI,,1,-,-,-,,,SAP,7.6,234,,,,,
1,1,7,No,ABBI,,1,3,-,-,,,9,8.52,234,0.00636174,,,,
1,1,8,No,ABBI,,1,-,-,-,,,7.3,8.86,228,0.004185397,,,,plus 1 PIEN Sapling
1,1,9,No,ABBI,,1,5,-,-,,,7.5,7.79,230,0.004417875,,,,Multi-stemmed clump from single root mass ?7 stems
1,1,10,Yes,ABBI,,1,-,-,-,,,SAP,8.18,226,,,,,
1,1,11,No,ABBI,78,1,5,-,-,,,8.2,8.26,228,0.00528103,,,,
1,1,12,No,ABBI,,1,5,-,-,,,11.8,8.59,227,0.01093591,,,,
1,1,13,No,ABBI,,1,-,-,-,,,SAP,7.95,218,,,,,
1,1,14,No,ABBI,,1,5,-,-,,,8.1,8.95,221,0.005153009,,,,
1,1,15,Yes,ABBI,,1,5,-,-,,,10.9,8.55,224,0.009331337,,,,
1,1,16,No,ABBI,,1,5,-,-,,,SAP,9.38,224,,,,,
1,1,17,Yes,ABBI,39,1,5,-,-,,,6.1,8.46,218,0.002922473,,,,
1,1,18,No,ABBI,,1,-,-,-,,,SAP,8.34,219,,,,,
1,1,19,No,ABBI,,1,-,-,-,,,SAP,8.57,218,,,,,
1,1,20,No,ABBI,,1,-,-,-,,,SAP,8.24,218,,,,,
1,1,21,No,ABBI,,1,5,-,-,,,11.8,8.94,221,0.01093591,,,,
1,1,22,No,ABBI,,1,5,-,-,,,9.5,9.25,221,0.007088235,,,,
1,1,23,No,ABBI,,1,5,-,-,,,SAP,8.64,206,,,,,
1,1,24,No,ABBI,,1,-,-,-,,,SAP,9,206,,,,,
1,1,25,No,ABBI,,1,-,-,-,,,SAP,9.2,208,,,,,
1,1,26,No,ABBI,,1,-,-,-,,,SAP,9.8,210,,,,,
1,1,27,No,ABBI,,1,5,-,-,,,10.4,10.14,214,0.008494886,,,,
1,1,28,No,ABBI,,1,-,-,-,,,SAP,10.24,214,,,,,
1,1,29,No,ABBI,,1,-,-,-,,,SAP,10.71,212,,,,,
1,1,30,No,ABBI,,1,-,-,-,,,SEED,10.58,232,,,,,
1,1,31,No,ABBI,,1,-,-,-,,,SEED,10.58,232,,,,,
1,1,32,No,ABBI,,1,-,-,-,,,SEED,10.58,232,,,,,
1,1,33,No,ABBI,,1,-,-,-,,,SAP,19.56,188,,,,,
1,1,34,No,ABBI,,1,-,-,-,,,SAP,19.67,190,,,,,
1,2,1,Yes,ABBI,68,1,5,-,-,,,7.7,8.23,206,0.004656637,,,,
1,2,2,No,ABBI,,1,5,-,-,,,8.5,8.61,208,0.005674515,,,,
1,2,3,No,ABBI,,1,5,-,-,,,7.5,9.13,206,0.004417875,,,,
1,2,4,Yes,ABBI,97,1,5,-,-,,,11.5,9.05,201,0.010386915,,,,
1,2,5,No,ABBI,,1,5,-,-,,,12,9.4,205,0.01130976,,,,
1,2,6,No,ABBI,,1,5,-,-,,,7.7,9.48,200,0.004656637,,,,
1,2,7,No,ABBI,,1,5,-,-,,,9.6,9.96,203,0.007238246,,,,
1,2,8,No,ABBI,,1,5,-,-,,,5.8,10.07,202,0.002642086,,,,
1,2,9,Yes,ABBI,96,1,5,-,-,,,13,10.32,201,0.01327326,,,,
1,2,10,Yes,ABBI,,1,5,-,-,,,16,10.18,201,0.02010624,,,,
1,2,11,Yes,ABBI,89,1,5,-,-,,,15.4,10.74,200,0.018626546,,,,
1,3,1,Yes,PIEN,80,1,5,-,-,,,30.4,8.75,202,0.072583526,,,,
1,3,2,Yes,PIEN,53,1,5,-,-,,,17.4,11.67,196,0.02377877,,,,
1,3,3,No,PIEN,,1,5,-,-,,,7.2,13.61,209,0.004071514,,,,
1,3,4,No,PIEN,,1,5,-,-,,,10.5,14.76,210,0.008659035,,,,
1,3,5,No,PIEN,,1,5,-,-,,,10,14.65,211,0.007854,,,,
1,3,6,Yes,PIEN,87,1,5,-,-,,,8.4,15.4,208,0.005541782,,,,
1,3,7,Yes,PIEN,,1,5,-,-,,,8.6,15.8,209,0.005808818,,,,
1,3,8,Yes,PIEN,132,1,5,-,-,,,16.7,15.65,207,0.021904021,,,,
1,3,9,Yes,PIEN,87,1,5,-,-,,,10.7,20.01,201,0.008992045,,,,
1,3,10,Yes,PIEN,105,1,5,-,-,,,17.1,20.41,198,0.022965881,,,,
1,4,1,No,PIEN,,1,5,-,-,,,8,5.47,246,0.00502656,,,,
1,4,2,No,PIEN,95,1,5,-,-,,,10.6,6.75,232,0.008824754,,,,
1,4,3,Yes,PIEN,,1,5,-,-,,,11.5,7.04,229,0.010386915,,,,two stems
1,4,4,Yes,PIEN,109,1,5,-,-,,,11.4,6.62,221,0.010207058,,,,
1,4,5,Yes,PIEN,87,1,5,-,-,,,13.9,6.7,219,0.015174713,,,,
1,4,6,No,PIEN,,1,5,-,-,,,9.5,7.81,198,0.007088235,,,,2 stems
1,4,7,No,PIEN,,1,5,-,-,,,13.4,7.45,222,0.014102642,,,,
1,4,8,Yes,PIEN,92,1,5,-,-,,,22.3,7.52,225,0.039057157,,,,
1,5,4,Yes,ABBI,74,1,5,-,-,,,14.5,9.06,230,0.016513035,,,,
1,5,5,Yes,ABBI,120,1,5,-,-,,,21.8,20.47,179,0.03732535,,,,
1,5,6,No,ABBI,,1,5,-,-,,,14,20.61,196,0.01539384,,,,
1,5,7,No,ABBI,,1,5,-,-,,,10.8,19.71,198,0.009160906,,,,
1,5,8,No,ABBI,,1,5,-,-,,,9.3,20.25,199,0.006792925,,,,big dead stems (3)
